Sat Jul 30 22:16:00 2022    output.dat

         4156758 function calls (3123299 primitive calls) in 14.951 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1547    2.511    0.002    5.957    0.004 c:\Users\Babaji\OneDrive\Desktop\Boids_Flocking_Simulation\BoidsFlocking-QuadTree-SpatialHashing.py:429(flock)
    21659    2.395    0.000    2.395    0.000 {method 'reduce' of 'numpy.ufunc' objects}
1179369/154700    1.733    0.000    3.891    0.000 c:\Users\Babaji\OneDrive\Desktop\Boids_Flocking_Simulation\BoidsFlocking-QuadTree-SpatialHashing.py:104(insertPoint)
     1547    1.607    0.001    1.607    0.001 {built-in method pygame.display.update}
  1179369    1.549    0.000    1.549    0.000 c:\Users\Babaji\OneDrive\Desktop\Boids_Flocking_Simulation\BoidsFlocking-QuadTree-SpatialHashing.py:46(isContain)
        1    1.114    1.114   14.154   14.154 c:\Users\Babaji\OneDrive\Desktop\Boids_Flocking_Simulation\BoidsFlocking-QuadTree-SpatialHashing.py:547(stimulate)
     1547    0.713    0.000    0.713    0.000 {method 'fill' of 'pygame.Surface' objects}
        1    0.434    0.434    0.439    0.439 {built-in method pygame.base.init}
     1547    0.314    0.000    0.314    0.000 {built-in method pygame.event.get}
    21416    0.254    0.000    0.470    0.000 c:\Users\Babaji\OneDrive\Desktop\Boids_Flocking_Simulation\BoidsFlocking-QuadTree-SpatialHashing.py:88(subdivide)
    10830    0.240    0.000    0.536    0.000 c:\Users\Babaji\OneDrive\Desktop\Boids_Flocking_Simulation\BoidsFlocking-QuadTree-SpatialHashing.py:198(setMagnitude)
   154700    0.234    0.000    0.234    0.000 {built-in method pygame.draw.circle}
    15471    0.187    0.000    0.369    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\numpy\linalg\linalg.py:2349(norm)
    87212    0.148    0.000    0.148    0.000 c:\Users\Babaji\OneDrive\Desktop\Boids_Flocking_Simulation\BoidsFlocking-QuadTree-SpatialHashing.py:68(__init__)
   154700    0.125    0.000    0.125    0.000 c:\Users\Babaji\OneDrive\Desktop\Boids_Flocking_Simulation\BoidsFlocking-QuadTree-SpatialHashing.py:10(__init__)
43317/38676    0.115    0.000    3.000    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
582912/582056    0.111    0.000    0.111    0.000 {built-in method builtins.len}
